datetime,step,train_return,reward_variance,model_loss,actor_loss,value_loss,kl,prior_ent,post_ent,eval_return,eval_success_rate,eval_collision_rate
2026-05-31 01:16:16,500,-10.0,0.0,33.19276428222656,0.014290341176092625,8.883304595947266,2.775275945663452,39.03154373168945,35.386898040771484,-6.7,3.0,97.0
2026-05-31 01:45:31,2500,100.0,1263.2098337950138,4.127159595489502,0.11997213214635849,3.4527201652526855,1.0857956409454346,31.50782585144043,29.221345901489258,-6.7,3.0,97.0
2026-05-31 02:13:50,4500,-10.0,1008.2484639340123,2.870404005050659,0.051127608865499496,1.3416529893875122,1.8124524354934692,21.759593963623047,19.298036575317383,-6.7,3.0,97.0
2026-05-31 02:42:34,6500,-10.0,969.4804601899197,2.593820095062256,0.06853629648685455,0.8939670920372009,2.1812334060668945,17.538198471069336,14.945789337158203,-6.7,3.0,97.0
2026-05-31 03:10:33,8500,-10.0,1016.6323731138543,2.445662498474121,0.04709688574075699,0.6398725509643555,2.408745288848877,16.32364273071289,13.621614456176758,-6.7,3.0,97.0
2026-05-31 03:38:44,10500,-10.0,1072.1774867185673,2.335815906524658,0.026779429987072945,0.6916375756263733,2.463115692138672,16.08683967590332,13.397757530212402,-6.7,3.0,97.0
2026-05-31 04:06:45,12500,-10.0,1052.5951557093424,2.2475407123565674,0.020774206146597862,1.1411811113357544,2.460524082183838,15.874566078186035,13.222160339355469,-6.7,3.0,97.0
2026-05-31 04:35:08,14500,100.0,1504.732306200269,2.1497983932495117,-0.1499573290348053,1.856142282485962,2.4172449111938477,15.904378890991211,13.290253639221191,-6.7,3.0,97.0
2026-05-31 05:03:32,16500,-10.0,1651.550037760872,2.124077558517456,-0.21602942049503326,1.8742631673812866,2.4274301528930664,16.040191650390625,13.426513671875,-6.7,3.0,97.0
2026-05-31 05:33:04,18500,-10.0,2166.7717669843296,2.121464252471924,-0.16923317313194275,2.3506205081939697,2.4623324871063232,16.19788932800293,13.57189655303955,-6.7,3.0,97.0
2026-05-31 06:25:48,20500,-10.0,2577.5147928994083,2.1095430850982666,-0.08654818683862686,3.3879587650299072,2.4590115547180176,16.34358024597168,13.708901405334473,34.0,40.0,60.0
2026-05-31 06:56:23,22500,100.0,2821.4303846221183,2.1097939014434814,-0.08320274204015732,3.859004020690918,2.4756734371185303,16.537179946899414,13.888301849365234,34.0,40.0,60.0
2026-05-31 07:28:17,24500,100.0,2954.2422145328724,2.10050106048584,-0.08342326432466507,3.803737163543701,2.481011152267456,16.70925521850586,14.050415992736816,34.0,40.0,60.0
2026-05-31 08:00:52,26500,-10.0,2988.0658404810592,2.104154348373413,-0.08393808454275131,3.804337739944458,2.4963290691375732,16.905370712280273,14.238598823547363,34.0,40.0,60.0
2026-05-31 08:32:56,28500,-10.0,3017.6490279706404,2.097367763519287,-0.07921862602233887,3.7951290607452393,2.5049304962158203,17.05683708190918,14.378853797912598,34.0,40.0,60.0
2026-05-31 09:05:49,30500,100.0,3024.922369732562,2.087137222290039,-0.0710715502500534,3.690164089202881,2.5007166862487793,17.20652961730957,14.533613204956055,34.0,40.0,60.0
2026-05-31 09:39:01,32500,100.0,3017.368278392861,2.0985634326934814,-0.05615045130252838,3.1958887577056885,2.5264811515808105,17.366214752197266,14.674666404724121,34.0,40.0,60.0
2026-05-31 10:14:24,34500,100.0,3009.898086592883,2.09804368019104,-0.049531660974025726,3.0916388034820557,2.5258305072784424,17.53636932373047,14.84949016571045,34.0,40.0,60.0
